,region,num_sessions,installs,orders,revenue,regionID,people,Зарплата,order/people,revenue/people,look/people,orders/look
0,Krasnodar Krai,1.0,1.0,1.0,1.0,39.0,0.6757540671087564,0.19692634560906516,1.4798283113241835,1.4798283113241835,2.959656622648367,0.5
1,Moscow Oblast,0.52261649681026,0.480609496190648,0.325434782608695,0.490552224662668,23.0,1.0,0.486628895184136,0.325434782608695,0.490552224662668,1.04523299362052,0.31135142556248724
2,Rostov Oblast,0.266369038586438,0.326066712083049,0.201884057971014,0.248302867231833,40.0,0.48221699823398007,0.11923512747875355,0.41865811182594675,0.5149193581752424,1.104768349361219,0.37895556300831423
3,Voronezh Oblast,0.217284685001851,0.211892425672339,0.182246376811594,0.192209818407371,16.0,0.262435236190543,0.14062322946175637,0.6944432441963423,0.7324085789600894,1.6559109070558642,0.419372347411511
4,Volgograd Oblast,0.153322974014701,0.163356791520053,0.0887681159420289,0.0944764147564752,29.0,0.28404851291767536,0.11179886685552408,0.31251040545935266,0.33260661633478406,1.0795548439230025,0.28948080518421715
5,Yaroslavl Oblast,0.0952703235870759,0.0777573265167092,0.065,0.0757852700625213,66.0,0.13487246061541697,0.15635977337110482,0.4819367845993758,0.5619032211373362,1.4127468743783824,0.34113456086139354
6,Lipetsk Oblast,0.0870577309450248,0.080938556634021,0.0586231884057971,0.0635055292792712,6.0,0.12688443680338699,0.14677053824362607,0.4620203224500756,0.5004989648783783,1.3722365506484389,0.33669145617186175
7,Leningrad Oblast,0.0704565181763552,0.0628433572290173,0.0484782608695652,0.0552953007060173,46.0,0.2318515139819655,0.33511331444759207,0.20909184519423094,0.2384944560263619,0.6077727677192192,0.3440296378840519
8,Smolensk Oblast,0.0682470697493732,0.0672073924537971,0.0484782608695652,0.0560862954260039,58.0,0.0972597452720957,0.07603399433427763,0.498441166321601,0.5766650454316513,1.4033980771478252,0.3551673430639155
9,Kaliningrad Oblast,0.0676127638136051,0.0639808501196867,0.0438405797101449,0.0536504304828356,47.0,0.11589067050278935,0.1558073654390935,0.3782925710925946,0.46294003003066836,1.1668370459894397,0.32420342874168423
10,Murmansk,0.0671544853624041,0.0516293648164698,0.0423188405797101,0.0508643898568301,43.0,0.07219629720594599,0.7220538243626062,0.5861635875728095,0.7045290662447018,1.8603304590771548,0.3150857336731372
11,Vologda Oblast,0.066766010913704,0.0524809219942375,0.0626086956521739,0.0820307304961796,55.0,0.12716512870893418,0.24406515580736543,0.49234170002279276,0.6450725236470932,1.0500679170706215,0.4688665295062821
12,Tula Oblast,0.0666810321280508,0.0700058124636721,0.0434057971014492,0.0580133050285578,65.0,0.1684268388243687,0.21060906515580738,0.2577130664235269,0.3444421651174765,0.7918100534747209,0.3254733446394093
13,Vladimir Oblast,0.0643350106526977,0.0747307829326066,0.039927536231884,0.0475640133930351,22.0,0.1501818649638024,0.13212464589235126,0.2658612359189143,0.3167094336223566,0.8567613761915136,0.3103095486175205
14,Tver Oblast,0.0627507632915925,0.07617608639946,0.0433333333333333,0.0481592261735315,54.0,0.13681391296211826,0.13290368271954675,0.3167319199863223,0.3520053270230351,0.9173155263670772,0.3452813245631006
15,Belgorod Oblast,0.061603549685275,0.0784573221417366,0.0485507246376811,0.0670651743091616,26.0,0.17228635252564234,0.15990084985835695,0.28180249872348434,0.38926573884707394,0.7151297683443173,0.3940578496346462
16,Arkhangelskaya,0.0598887991890595,0.0452278423259854,0.0342028985507246,0.0433980955648605,2.0,0.11277966854964153,0.4459773371104816,0.3032718484685892,0.3848042481678179,1.0620495690266836,0.2855533840539317
17,Kaluga Oblast,0.0590420462891585,0.0527668577071393,0.0337681159420289,0.0408745930788236,64.0,0.12040513198367307,0.24873937677053826,0.2804541250501503,0.33947550578131663,0.9807230857429664,0.2859666802252204
18,Ivanovo Oblast,0.0540859621116014,0.0531684176973893,0.0305797101449275,0.0288602279071411,57.0,0.10213676713097786,0.00043909348441926343,0.2993996285951833,0.28256453300633066,1.0590889770819318,0.28269544398442137
19,Komi,0.0529842728547409,0.0491559427753576,0.0218115942028985,0.0286750288725113,25.0,0.08012584353765365,0.4595042492917847,0.2722167186002672,0.35787490785087345,1.322526428812994,0.20583083458270818
20,Ryazan Oblast,0.0517429755928787,0.0519746751582802,0.0331884057971014,0.0345713569702813,74.0,0.12251032127527688,0.13344192634560906,0.27090293659852616,0.28219138281908945,0.8447121035069992,0.3207044571444116
21,Kursk Oblast,0.047803601886529,0.0617402391235054,0.0307971014492753,0.0357423856402375,5.0,0.1199490076371589,0.13753541076487252,0.25675161517330214,0.2979798361346751,0.7970654001762656,0.32212113976660295
22,Astrakhan Oblast,0.0407655374604696,0.0516590521309241,0.0221739130434782,0.0271063454819376,33.0,0.10633545021812099,0.16191218130311616,0.20852794621167145,0.2549135347274649,0.7667346567273499,0.27196885439055324
23,Bryansk Oblast,0.0388929692194698,0.0416200523746726,0.021231884057971,0.0241580675560992,27.0,0.12994865677227696,0.06310198300283286,0.16338671430192556,0.18590471156953925,0.5985897843888628,0.27295272749891164
24,Karelia,0.0384043412019642,0.0297670014562408,0.0267391304347826,0.0251926248247349,83.0,0.05689858835362501,0.2848300283286119,0.4699436525313909,0.442763617757309,1.3499224607570586,0.3481264044364732
25,Pskov Oblast,0.0368109889709676,0.0275107655577152,0.0297826086956521,0.0328141050475538,44.0,0.06390419049623988,0.03706798866855524,0.46605095009230274,0.5134890966107235,1.1520680783252721,0.4045342101395496
26,Tambov Oblast,0.0332297401470133,0.0414606783707601,0.019927536231884,0.0223124237119496,73.0,0.10817164310024208,0.04245042492917847,0.1842214434462945,0.20626869549603494,0.6143891170483465,0.2998449001364685
27,Kostroma Oblast,0.0273055048043363,0.0301029368566446,0.0183333333333333,0.0210386825310411,53.0,0.062044606621989865,0.055141643059490084,0.2954863336475018,0.3390896272293322,0.8801894730575559,0.3357076432885035
28,Novgorod Oblast,0.0240095419036462,0.0257639014756157,0.0169565217391304,0.0142264857569552,4.0,0.06251242646456849,0.12603399433427762,0.27125041688697227,0.22757852416780927,0.7681526141767862,0.3531204761669215
29,Adygeya Republic,0.0153993699430035,0.0132686670708308,0.00978260869565217,0.0109697111132445,37.0,0.05340163503034981,0.054985835694050994,0.1831893104039307,0.20541901211470534,0.5767377697050496,0.3176301605799388
30,Kalmykiya Republic,0.00763595088226189,0.0102374360160249,0.00304347826086956,0.00305370277877311,38.0,0.026092651719822692,0.0,0.11664120203457196,0.11703305633950573,0.5852951217266145,0.1992861339600467
