,Unnamed: 0,Регион,Площадь территории (тыс. км2),Численность населения на 1 января 2023 г. (тыс. человек),Среднегодовая численность занятых (тыс. человек),Среднедушевые денежные доходы (в месяц; руб.),Потребительские расходы (в среднем на душу населения в месяц; руб.),Среднемесячная номинальная начисленная заработная плата работников организаций (руб.),Валовой региональный продукт в 2021 г. (млрд руб.),Инвестиции в основной капитал (млрд руб.),Основные фонды в экономике (по полной учетной стоимости на конец года; млрд руб.)
0,0,Российская Федерация,17125.2,146447.4,71216.9,44937,35336,65338,121183,27865.2,427401
1,1,Центральный федеральный округ,650.2,40240.3,20843.9,59461,44195,83126,41686,9367.4,151901
2,2,26,27.1,1514.5,771.2,41022,32092,47638,1355,193.6,3333
3,3,27,34.9,1152.5,506.7,35722,30320,40804,469,87.4,1950
4,4,22,29.1,1325.5,647.7,32321,26020,45677,737,179.4,2186
5,5,16,52.2,2285.3,1135.4,39319,33735,46277,1255,344.1,4347
6,6,57,21.4,914.7,448.5,34275,28872,36380,301,59.5,1243
7,7,64,29.8,1070.9,503.1,35509,28327,53910,664,135.8,2656
8,8,53,60.2,571.9,277.9,34450,29753,40242,241,36.9,1007
9,9,5,30.0,1067.0,512.3,37632,28917,46059,684,202.6,2309
10,10,6,24.0,1126.3,549.5,38926,32431,46711,844,166.2,2525
11,11,23,44.3,8591.7,3452.4,55109,43138,70705,6832,1329.4,31699
12,12,51,24.7,700.3,297.8,34138,27748,40843,337,60.6,1200
13,13,74,39.6,1088.9,495.3,33379,27306,45770,532,93.4,2616
14,14,58,49.8,873.0,423.4,35094,27256,41717,422,64.9,1659
15,15,73,34.5,966.3,462.3,34092,27256,39346,429,85.0,1803
16,16,54,84.2,1211.2,575.2,35203,28470,45732,555,88.9,2957
17,17,65,25.7,1481.5,716.0,34442,28397,51218,868,212.3,3041
18,18,66,36.2,1194.6,603.0,38060,30810,47388,690,109.6,2973
19,19,г. Москва,2.6,13104.2,8466.1,95465,65722,125638,24471,5918.0,82397
20,20,Северо-Западный федеральный округ,1687.0,13867.3,7138.5,50214,39213,72465,16611,2611.1,53189
21,21,83,180.5,527.9,264.9,44880,36607,56458,447,95.6,1306
22,22,25,416.8,726.5,368.9,46638,32321,68790,857,118.5,4734
23,23,2,589.9,1005.7,510.8,48356,38562,67835,1055,192.6,3956
24,24,3,176.8,41.4,31.4,104109,41089,106949,407,85.5,1180
25,25,Архангельская область без автономного округа,413.1,964.3,479.5,45975,38454,64417,648,107.1,2776
26,26,55,144.5,1128.7,517.7,35444,27089,53580,1010,167.8,3502
27,27,47,15.1,1032.3,506.7,34506,30826,47349,675,140.5,2548
28,28,46,83.9,2023.8,871.1,38963,32789,60008,1481,545.7,7158
29,29,43,144.9,658.7,340.9,62601,45567,87326,1084,256.1,3373
30,30,4,54.5,575.9,268.1,33729,29024,45247,342,57.2,1495
31,31,44,55.4,587.8,275.9,33090,29269,38966,220,39.6,902
32,32,г. Санкт-Петербург,1.4,5600.0,3213.6,63495,48134,86630,9440,997.5,24215
33,33,Южный федеральный округ,447.8,16642.1,7695.5,39263,34982,46231,7953,1805.9,35096
34,34,37,7.8,498.0,152.5,36397,30511,40231,171,46.5,551
35,35,38,74.7,264.5,112.0,23684,15205,36349,100,14.3,350
36,36,Республика Крым,26.1,1916.8,839.0,28699,24649,41986,587,214.1,4126
37,37,39,75.5,5819.3,2739.0,48279,45331,50252,3201,690.7,14671
38,38,33,49.0,950.6,472.9,31119,26164,47780,657,86.1,2345
39,39,29,112.9,2470.1,1129.8,31309,26225,44242,1051,216.5,4377
40,40,40,101.0,4164.5,2017.2,40016,34963,44767,2017,465.5,7659
41,41,г. Севастополь,0.9,558.3,233.0,35164,30093,43112,169,72.2,1017
