,Регион,Значение показателя за год
2,26,2112727
3,27,2520420
4,22,3251101
5,16,4949420
6,57,1839723
7,64,2422663
8,53,1203106
9,5,1995625
10,6,1390812
11,23,76276083
12,51,1275464
13,74,3420867
14,58,1863858
15,73,1297627
16,54,9298718
17,65,6171476
18,66,3643304
21,83,2389624
22,25,1049828
23,2,2702607
24,3,114721
26,55,2564029
27,47,5902659
28,46,36160423
29,43,2472395
30,4,7899208
31,44,4638187
34,37,976202
35,38,220139
37,39,100110964
38,33,2637914
39,29,3831696
40,40,7422890
43,14,3651179
44,34,115616
45,36,2566148
46,13,2919037
47,35,820637
48,32,756211
49,15,17392190
51,61,8870912
52,60,1085519
53,48,772445
54,50,13998938
55,59,2780518
56,49,2289308
57,56,5817611
58,52,2979440
59,62,8890460
60,30,3712638
61,28,2200011
62,31,8471227
63,41,3183412
64,63,2597172
66,1,1182909
67,72,10185979
69,71,2990472
70,70,703114
72,24,6807272
74,77,3125812
75,76,312479
76,75,1553451
77,17,6335800
78,69,5743501
79,82,4485123
80,78,5871801
81,19,8739968
82,21,3754087
83,18,1494806
85,10,2400893
86,67,673349
87,9,1264553
88,8,779904
89,12,7952384
90,79,2931338
91,81,1596606
92,7,335651
93,11,1137979
94,80,242823
95,68,241992
